Country,Deaths,Confirmed,Recovered,Unemployment (% of labour force),Urban population (% of total population),Health: Total expenditure (% of GDP),tuberculosis(per/100k) 2018,obesityRate,totalSmokingRate,Life expectancy(W),Life expectancy(M),deathrate(per/1000),averageTemperature
Afghanistan,0.0,1,0,8.6,26.7,8.2,189.0,0.055,19.3,63.5,61.0,6.393,12.6
Algeria,0.0,17,0,11.4,70.7,7.2,69.0,0.27399999999999997,16.5,76.5,74.1,4.723,22.5
Andorra,0.0,1,0,4.9,85.1,8.1,3.0,0.256,32.5,77.0,70.94,7.4,7.6
Argentina,0.0,8,0,6.5,91.8,4.8,27.0,0.28300000000000003,23.95,79.8,72.2,7.612,14.8
Armenia,0.0,1,0,16.6,62.7,4.5,31.0,0.20199999999999999,26.9,77.0,70.6,9.862,7.15
Australia,3.1746031746031744,63,21,5.5,89.4,9.4,6.6,0.29,14.9,84.4,80.2,6.622000000000001,21.65
Austria,0.0,79,0,6.2,66.0,11.2,7.1,0.201,35.15,83.5,78.4,9.896,6.35
Azerbaijan,0.0,9,0,5.2,54.6,6.0,63.0,0.19899999999999998,23.45,74.6,68.6,6.808,11.95
Bahrain,0.0,85,4,1.3,88.8,5.0,11.0,0.298,28.2,77.5,75.6,2.416,27.15
Belarus,0.0,6,0,0.5,76.7,5.7,31.0,0.245,28.4,77.7,66.5,12.557,6.15
Belgium,0.0,169,1,8.3,97.9,10.6,9.0,0.221,23.25,83.0,78.0,9.789,9.55
Bhutan,0.0,1,0,2.4,38.6,3.6,149.0,0.064,7.4,68.9,68.6,6.265,7.4
Bosnia and Herzegovina,0.0,3,0,25.4,39.8,9.6,25.0,0.179,38.6,78.8,73.7,10.8,9.85
Brazil,0.0,13,0,12.4,85.7,8.3,45.0,0.221,15.3,78.4,71.0,6.502999999999999,24.95
Cambodia,0.0,1,1,0.3,20.7,5.7,302.0,0.039,23.45,69.6,65.5,6.019,26.8
Cameroon,0.0,1,0,4.6,54.4,4.1,186.0,0.114,22.35,57.7,55.1,9.191,24.6
Canada,0.0,54,8,7.1,81.8,10.4,5.6,0.294,14.95,83.8,79.7,7.757999999999999,-5.35
Chile,0.0,4,0,6.8,89.5,7.8,18.0,0.28,38.0,81.3,76.2,6.215,8.45
China,3.8064772107325298,80652,55478,3.5,100.0,5.6,61.0,0.062,24.7,86.4,80.5,7.261,6.95
Colombia,0.0,1,0,3.2,100.0,5.6,33.0,0.223,11.1,86.2,80.3,5.606,24.5
Costa Rica,0.0,1,0,4.6,55.6,5.5,10.0,0.257,13.4,77.2,74.2,5.122000000000001,24.8
Croatia,0.0,12,0,10.5,76.4,7.2,8.4,0.244,36.45,77.4,70.2,13.17,10.9
Czech Republic,0.0,19,0,8.6,76.8,9.3,5.4,0.26,34.3,81.7,76.7,10.571,7.55
Denmark,0.0,23,1,11.7,59.0,7.8,5.4,0.19699999999999998,17.0,80.4,73.6,9.783,7.5
Dominican Republic,0.0,2,0,3.9,73.0,7.4,45.0,0.276,14.1,81.2,75.1,6.1770000000000005,24.55
Ecuador,0.0,13,0,6.0,87.7,10.8,44.0,0.19899999999999998,8.65,82.2,78.1,5.121,21.85
Egypt,0.0,15,1,14.4,79.0,4.4,12.0,0.32,25.1,76.4,70.2,5.808,22.1
Estonia,0.0,10,0,5.8,63.7,9.2,13.0,0.212,33.05,78.4,72.8,11.727,5.1
Faroe Islands,0.0,1,0,11.5,43.1,5.6,8.0,0.56,27.0,73.0,68.7,8.8,6.5
Finland,0.0,15,1,7.2,67.5,6.4,4.7,0.222,20.85,81.2,71.8,9.795,1.7
France,1.1591148577449948,949,12,4.0,42.0,5.6,8.9,0.21600000000000003,27.7,84.5,78.3,9.317,10.7
Georgia,0.0,4,0,8.9,84.2,9.7,80.0,0.217,31.7,83.7,77.7,12.815999999999999,5.8
Germany,0.0,799,18,9.8,79.5,11.5,7.3,0.223,30.35,85.0,78.8,11.275,8.5
Greece,0.0,46,0,11.4,53.6,7.4,4.5,0.249,42.65,77.0,68.5,10.924000000000001,15.4
Hong Kong,1.8518518518518516,108,51,4.2,75.3,11.3,67.0,0.299,10.5,82.9,77.9,6.716,20.0
Hungary,0.0,4,0,23.0,78.0,8.1,6.4,0.264,28.4,83.3,78.0,12.613,9.75
Iceland,0.0,50,0,4.5,71.2,7.4,2.7,0.21899999999999997,16.05,78.8,71.7,6.736000000000001,1.75
India,0.0,34,3,3.6,94.1,8.9,199.0,0.039,11.15,83.8,80.6,7.273,23.65
Indonesia,0.0,4,0,3.4,32.7,4.7,316.0,0.069,39.9,69.1,66.2,6.51,25.85
Iran,2.4901253649321657,5823,1669,5.8,53.7,2.8,14.0,0.258,11.1,70.7,66.6,4.8660000000000005,17.25
Iraq,7.4074074074074066,54,0,11.3,73.4,7.5,42.0,0.304,19.5,76.2,74.0,4.773,21.4
Ireland,0.0,18,0,16.1,69.5,5.5,7.0,0.253,22.15,71.4,67.0,6.138999999999999,9.3
Israel,0.0,21,2,7.6,63.2,7.8,4.0,0.261,30.25,83.0,78.7,5.327999999999999,19.2
Italy,3.960564337922828,5883,589,5.9,92.1,7.8,7.0,0.19899999999999998,24.0,83.7,80.0,10.565999999999999,13.45
Japan,1.3015184381778742,461,76,11.4,69.0,9.2,14.0,0.043,22.15,84.7,79.9,10.645999999999999,11.15
Jordan,0.0,1,0,3.0,93.5,10.2,5.0,0.355,40.45,86.4,80.0,3.887,18.3
Kuwait,0.0,61,0,13.4,83.7,7.5,23.0,0.379,22.5,75.5,72.2,2.787,25.35
Latvia,0.0,1,0,2.2,98.3,3.0,29.0,0.23600000000000002,36.6,75.5,73.5,14.669,5.6
Lebanon,0.0,22,1,9.6,67.4,5.9,11.0,0.32,38.2,78.7,68.8,4.419,16.4
Liechtenstein,0.0,1,0,7.0,87.8,6.4,8.0,0.2,23.3,80.9,77.3,7.6,5.65
Lithuania,0.0,1,0,2.6,14.3,5.6,44.0,0.263,30.15,77.0,70.94,13.737,6.2
Luxembourg,0.0,2,0,9.2,66.5,6.6,8.0,0.226,23.6,79.3,68.5,7.125,8.65
Macau,0.0,10,10,5.6,90.2,6.9,60.0,0.3,24.7,83.4,78.8,4.002,20.0
Malaysia,0.0,93,23,3.3,74.7,4.2,92.0,0.156,22.2,77.1,72.6,5.138999999999999,25.4
Malta,0.0,3,0,5.4,95.4,9.7,14.0,0.289,24.95,82.0,78.6,8.385,19.2
Mexico,0.0,6,1,4.1,79.2,6.3,23.0,0.289,13.7,78.9,74.0,6.039,21.0
Monaco,0.0,1,0,4.9,100.0,4.3,0.0,0.3,27.7,77.0,70.94,10.1,13.55
Morocco,0.0,2,0,10.4,60.2,5.9,99.0,0.261,23.4,76.0,73.7,5.072,17.1
Nepal,0.0,1,1,3.0,18.6,5.8,151.0,0.040999999999999995,24.1,70.4,67.4,6.358,8.1
Netherlands,0.5319148936170213,188,0,5.6,90.5,10.9,5.3,0.204,25.05,83.1,79.4,8.812000000000001,9.25
New Zealand,0.0,5,0,5.5,86.3,11.0,7.3,0.308,13.0,83.1,79.5,7.0329999999999995,10.55
Nigeria,0.0,1,0,5.4,47.8,3.7,219.0,0.08900000000000001,9.25,52.6,51.2,11.770999999999999,26.8
North Macedonia,0.0,3,0,5.1,80.5,9.7,13.0,0.19,39.0,83.6,79.5,10.017000000000001,9.5
Norway,0.0,147,0,17.8,77.6,3.6,4.1,0.231,22.25,78.7,74.5,7.979,1.5
Oman,0.0,16,2,5.9,38.8,2.6,5.9,0.27,11.0,66.8,65.0,2.4459999999999997,25.6
Pakistan,0.0,6,0,5.3,78.6,5.5,265.0,0.086,22.45,76.8,71.5,6.934,20.2
Peru,0.0,1,0,5.9,44.4,4.7,123.0,0.19699999999999998,5.0,72.1,65.4,5.539,19.6
Philippines,16.666666666666664,6,1,5.3,60.5,6.4,554.0,0.064,25.75,81.0,72.9,5.9,25.85
Poland,0.0,5,0,10.5,63.5,9.5,16.0,0.231,28.05,83.5,77.3,10.201,7.85
Portugal,0.0,20,0,0.3,99.2,2.2,24.0,0.20800000000000002,22.6,79.4,76.8,10.702,15.15
Qatar,0.0,8,0,3.6,82.5,7.4,31.0,0.35100000000000003,28.0,84.4,77.9,1.244,27.15
Romania,0.0,9,3,7.1,54.6,5.6,68.0,0.225,29.8,78.4,71.4,13.099,8.8
Russia,0.0,13,2,5.8,74.0,7.1,54.0,0.231,40.9,75.9,64.7,12.785,-5.1
San Marino,4.3478260869565215,23,0,6.6,94.2,6.1,0.0,0.2,15.2,86.4,81.7,8.8,11.85
Saudi Arabia,0.0,5,0,5.5,83.1,4.7,10.0,0.354,15.4,75.6,72.7,3.513,24.65
Senegal,0.0,4,0,9.3,43.7,4.7,118.0,0.08800000000000001,12.05,67.5,63.8,5.691,27.85
Serbia,0.0,1,0,15.5,55.6,10.4,17.0,0.215,41.65,77.5,71.8,13.194,10.55
Singapore,0.0,138,78,2.0,100.0,4.9,47.0,0.061,16.5,84.5,80.1,4.6,26.45
Slovenia,0.0,7,0,8.1,49.7,9.2,5.3,0.20199999999999999,20.2,83.2,77.2,10.044,8.9
South Africa,0.0,1,0,26.0,64.8,8.8,520.0,0.28300000000000003,18.95,63.0,56.1,9.494,17.75
South Korea,0.6249112341996875,7041,135,18.3,79.6,9.0,66.0,0.047,27.0,85.3,79.6,6.111000000000001,11.5
Spain,2.0,500,30,5.2,18.4,3.5,9.4,0.23800000000000002,29.2,78.0,71.2,9.115,13.3
Sri Lanka,0.0,1,1,7.3,85.8,11.9,64.0,0.052000000000000005,14.4,83.7,80.0,6.7170000000000005,26.95
Sweden,0.0,161,0,4.6,73.9,11.7,5.5,0.20600000000000002,20.6,84.8,80.5,9.165,2.1
Switzerland,0.3731343283582089,268,3,0.6,50.4,4.1,6.4,0.195,23.3,78.4,70.8,8.051,5.5
Thailand,2.0,50,31,27.3,57.1,6.5,153.0,0.1,21.85,77.2,73.2,7.746,26.3
Togo,0.0,1,0,6.8,40.0,5.2,36.0,0.084,8.0,59.8,58.3,8.426,27.15
Tunisia,0.0,1,0,14.6,66.8,7.0,35.0,0.26899999999999996,22.0,77.1,73.0,6.267,19.2
Ukraine,0.0,1,0,8.8,69.7,7.1,80.0,0.24100000000000002,31.7,76.0,66.1,15.192,8.3
United Arab Emirates,0.0,45,7,3.7,85.5,3.6,1.0,0.317,30.0,78.2,76.0,1.5190000000000001,27.0
United Kingdom,0.9708737864077669,206,18,5.0,82.6,9.1,8.0,0.278,19.15,82.8,79.0,9.398,8.45
United States,4.07673860911271,417,8,4.9,81.6,17.1,3.0,0.36200000000000004,17.25,81.2,76.5,8.782,8.55
Vietnam,0.0,18,16,2.2,33.6,7.1,182.0,0.021,24.2,80.3,70.7,6.354,24.45
